instance class,predicted class,recall(0),recall(1),avg-gmean,timestamp 
0,0,100.0,0.0,0.0,1174301697
0,0,100.0,0.0,0.0,1174302033
1,0,100.0,0.0,0.0,1174306940
1,0,100.0,0.0,0.0,1174310317
0,0,100.0,0.0,0.0,1174310425
0,0,100.0,0.0,0.0,1174311498
0,0,100.0,0.0,0.0,1174314551
1,0,100.0,0.0,0.0,1174316653
0,0,100.0,0.0,0.0,1174318528
1,0,100.0,0.0,0.0,1174320828
0,0,100.0,0.0,0.0,1174321821
0,0,100.0,0.0,0.0,1174328769
0,0,100.0,0.0,0.0,1174332076
0,0,100.0,0.0,0.0,1174332356
0,0,100.0,0.0,0.0,1174332386
0,0,100.0,0.0,0.0,1174333201
0,0,100.0,0.0,0.0,1174333624
1,0,100.0,0.0,0.0,1174333860
0,0,100.0,0.0,0.0,1174342966
1,0,100.0,0.0,0.0,1174346015
0,0,100.0,0.0,0.0,1174346346
0,0,100.0,0.0,0.0,1174350148
1,0,100.0,0.0,0.0,1174353357
1,0,100.0,0.0,0.0,1174356005
0,0,100.0,0.0,0.0,1174356198
0,0,100.0,0.0,0.0,1174356765
1,0,100.0,0.0,0.0,1174363299
1,0,100.0,0.0,0.0,1174369464
0,0,100.0,0.0,0.0,1174369489
0,0,100.0,0.0,0.0,1174377184
0,0,100.0,0.0,0.0,1174379304
1,0,100.0,0.0,0.0,1174381907
0,0,100.0,0.0,0.0,1174385510
1,0,100.0,0.0,0.0,1174394374
0,0,100.0,0.0,0.0,1174394449
1,0,100.0,0.0,0.0,1174400518
0,0,100.0,0.0,0.0,1174403822
1,0,100.0,0.0,0.0,1174407231
0,0,100.0,0.0,0.0,1174407271
1,0,100.0,0.0,0.0,1174413701
1,0,100.0,0.0,0.0,1174414125
1,0,100.0,0.0,0.0,1174416454
0,0,100.0,0.0,0.0,1174416539
0,0,100.0,0.0,0.0,1174417281
1,0,100.0,0.0,0.0,1174419107
0,0,100.0,0.0,0.0,1174420358
0,0,100.0,0.0,0.0,1174423337
0,0,100.0,0.0,0.0,1174423429
0,0,100.0,0.0,0.0,1174425223
1,0,100.0,0.0,0.0,1174470971
1,0,100.0,0.0,0.0,1174480412
1,0,100.0,0.0,0.0,1174487831
1,0,100.0,0.0,0.0,1174490772
0,0,100.0,0.0,0.0,1174491058
0,0,100.0,0.0,0.0,1174491579
1,0,100.0,0.0,0.0,1174494580
0,0,100.0,0.0,0.0,1174495104
0,0,100.0,0.0,0.0,1174499138
1,0,100.0,0.0,0.0,1174499627
0,0,100.0,0.0,0.0,1174499952
0,0,100.0,0.0,0.0,1174504741
0,0,100.0,0.0,0.0,1174507460
0,0,100.0,0.0,0.0,1174508395
1,0,100.0,0.0,0.0,1174515072
0,0,100.0,0.0,0.0,1174517612
0,0,100.0,0.0,0.0,1174517653
0,0,100.0,0.0,0.0,1174517827
0,0,100.0,0.0,0.0,1174517829
0,0,100.0,0.0,0.0,1174517831
0,0,100.0,0.0,0.0,1174517833
0,0,100.0,0.0,0.0,1174517835
0,0,100.0,0.0,0.0,1174524567
1,0,100.0,0.0,0.0,1174546990
1,0,100.0,0.0,0.0,1174552868
1,0,100.0,0.0,0.0,1174554223
1,0,100.0,0.0,0.0,1174557586
0,0,100.0,0.0,0.0,1174557990
1,0,100.0,0.0,0.0,1174558615
0,0,100.0,0.0,0.0,1174559523
1,0,100.0,0.0,0.0,1174565966
1,0,100.0,0.0,0.0,1174566161
1,0,100.0,0.0,0.0,1174567246
0,0,100.0,0.0,0.0,1174569179
0,0,100.0,0.0,0.0,1174571974
1,0,100.0,0.0,0.0,1174573414
0,0,100.0,0.0,0.0,1174579794
0,0,100.0,0.0,0.0,1174579886
0,0,100.0,0.0,0.0,1174581191
0,0,100.0,0.0,0.0,1174585058
1,0,100.0,0.0,0.0,1174585529
0,0,100.0,0.0,0.0,1174585702
0,0,100.0,0.0,0.0,1174586573
0,0,100.0,0.0,0.0,1174588434
0,0,100.0,0.0,0.0,1174588884
1,0,100.0,0.0,0.0,1174591161
1,0,100.0,0.0,0.0,1174593224
0,0,100.0,0.0,0.0,1174593617
