instance class,predicted class,recall(0),recall(1),avg-gmean,timestamp 
0,0,100.0,0.0,0.0,1254244893
0,0,100.0,0.0,0.0,1254261636
1,0,100.0,0.0,0.0,1254261666
0,0,100.0,0.0,0.0,1254261833
0,0,100.0,0.0,0.0,1254261889
0,0,100.0,0.0,0.0,1254268301
1,0,100.0,0.0,0.0,1254268319
0,0,100.0,0.0,0.0,1254334201
0,0,100.0,0.0,0.0,1254531192
0,0,100.0,0.0,0.0,1254531642
0,0,100.0,0.0,0.0,1254594028
0,0,100.0,0.0,0.0,1254594078
0,0,100.0,0.0,0.0,1254602950
1,0,100.0,0.0,0.0,1254687744
0,0,100.0,0.0,0.0,1254687998
0,0,100.0,0.0,0.0,1254688239
0,0,100.0,0.0,0.0,1254688290
0,0,100.0,0.0,0.0,1254688322
0,0,100.0,0.0,0.0,1254688347
0,0,100.0,0.0,0.0,1254688479
0,0,100.0,0.0,0.0,1254696103
0,0,100.0,0.0,0.0,1254697526
0,0,100.0,0.0,0.0,1254699847
0,0,100.0,0.0,0.0,1254699884
0,1,94.95890017681515,0.0,0.0,1254769395
0,1,90.35785986001049,0.0,0.0,1254769666
0,0,90.8077505140159,0.0,0.0,1254821293
0,1,86.72060018001268,0.0,0.0,1254821468
0,0,87.29807371810236,0.0,0.0,1254947275
0,1,83.62479799763474,0.0,0.0,1263275692
0,0,84.29240866362136,0.0,0.0,1263282623
0,0,84.91368467723436,0.0,0.0,1263282728
0,1,81.65153306439714,0.0,0.0,1263282925
1,0,81.65153306439714,0.0,0.0,1263282963
0,0,82.33695323244015,0.0,0.0,1263282978
0,1,79.34309628336679,0.0,0.0,1263284872
0,0,80.07491130773974,0.0,0.0,1263290449
0,0,80.76329655054238,0.0,0.0,1263290480
0,0,81.41197481488533,0.0,0.0,1263290530
0,0,82.0242552661518,0.0,0.0,1263290612
0,0,82.60308932897057,0.0,0.0,1263293971
0,0,83.15111775835037,0.0,0.0,1263293986
0,0,83.67071046910112,0.0,0.0,1263294003
0,0,84.16400039084142,0.0,0.0,1263294019
0,0,84.63291236861419,0.0,0.0,1263294041
0,0,85.07918793484276,0.0,0.0,1263294061
0,0,85.50440662473432,0.0,0.0,1263294072
0,0,85.91000438503714,0.0,0.0,1263294875
0,0,86.2972895282966,0.0,0.0,1263294920
1,1,86.2972895282966,20.404019958388,41.96202590307279,1263295514
0,0,86.6674566061207,20.404019958388,42.051926404553846,1263295709
0,0,87.02159851139014,20.404019958388,42.137755431883555,1263295892
0,0,87.3607170676919,20.404019958388,42.21977989791364,1263348838
0,1,85.11426322739432,20.404019958388,41.67341029523794,1263348958
0,0,85.49112311141153,20.404019958388,41.76556694491584,1263462068
0,0,85.85290079970808,20.404019958388,41.853844523564966,1263952173
0,0,86.2004667208765,20.404019958388,41.93847926898548,1265132595
0,1,86.5346256162829,20.404019958388,42.0196885776926,1265162925
0,0,86.85612262219668,20.404019958388,42.09767285125743,1265164003
0,0,87.16564868841525,20.404019958388,42.172617129178285,1266400007
0,0,87.46384541632091,20.404019958388,42.24469253660127,1266400007
0,1,85.45823004320852,20.404019958388,41.75753143338504,1266403874
0,0,85.78742758104244,20.404019958388,41.8378821708551,1266448546
0,0,86.10515723539989,20.404019958388,41.91528774506071,1266452809
1,1,86.10515723539989,34.00555503185112,54.11149289101701,1266452809
0,0,86.41199275658226,34.00555503185112,54.20782023929645,1266452870
0,0,86.70847027740669,34.00555503185112,54.30073349178609,1266452870
0,0,86.99509134684995,34.00555503185112,54.39040693262205,1266455381
0,0,87.27232567477347,34.00555503185112,54.477003161803445,1266455405
0,0,87.54061361933022,34.00555503185112,54.56067406066524,1266455424
0,0,87.80036844476415,34.00555503185112,54.64156166294327,1266460489
0,0,88.05197837395518,34.00555503185112,54.71979894205476,1266460505
0,0,88.29580845715373,34.00555503185112,54.7955105238698,1266460597
0,0,88.53220227582663,34.00555503185112,54.86881333309111,1266797373
0,0,88.7614834983422,34.00555503185112,54.93981718036219,1266828546
0,0,88.98395730231073,34.00555503185112,55.008625296362545,1266828575
0,0,89.19991167672673,34.00555503185112,55.075334818402965,1266828601
0,0,89.40961861559924,34.00555503185112,55.14003723438696,1266828622
0,0,89.61333521347517,34.00555503185112,55.202818788441874,1266828698
1,0,89.61333521347517,28.999927714397018,50.97823303564776,1266828723
1,1,89.61333521347517,38.19024438712822,58.50089890034391,1266828751
0,0,89.81130467213619,38.19024438712822,58.56548193394904,1266828787
0,0,90.00375722675967,38.19024438712822,58.628197006642715,1266828802
0,1,88.31866983348392,38.19024438712822,58.076773196234306,1266829167
0,0,88.53548138592487,38.19024438712822,58.148015194506094,1266861595
0,0,88.74646269386103,38.19024438712822,58.21725774005257,1266862039
1,0,88.74646269386103,33.77430672604324,54.748061626634936,1267239384
0,0,88.9518355727703,33.77430672604324,54.81137271113823,1267248131
0,0,89.1518107518633,33.77430672604324,54.872949633818585,1267248330
0,0,89.34658855839339,33.77430672604324,54.932859809924004,1267248395
0,0,89.53635955189522,33.77430672604324,54.99116720564313,1267248412
0,0,89.72130511257413,33.77430672604324,55.04793255639116,1267250695
0,0,89.9015979876678,33.77430672604324,55.10321356869238,1267250763
1,1,89.9015979876678,40.70038186101974,60.489911291172874,1267319824
0,0,90.07740279924079,40.70038186101974,60.549027167890884,1267319841
0,0,90.24887651655146,40.70038186101974,60.60663112854617,1267320040
0,0,90.41616889584154,40.70038186101974,60.66277771806371,1267320105
0,1,88.8759914280854,40.70038186101974,60.143884056484026,1267322959
0,0,89.06415766939868,40.70038186101974,60.20751802951685,1267323930
0,0,89.24787058238354,40.70038186101974,60.269581158208496,1267323939
0,0,89.42727745842248,40.70038186101974,60.33012797391663,1267323957
0,0,89.60251918919451,40.70038186101974,60.389210515700285,1267333689
0,0,89.77373061071413,40.70038186101974,60.44687847146767,1267333710
0,0,89.94104082541048,40.70038186101974,60.50317930961788,1267334031
0,0,90.10457350386415,40.70038186101974,60.55815840191636,1267334059
0,0,90.26444716768542,40.70038186101974,60.61185913827952,1267411350
0,0,90.42077545489468,40.70038186101974,60.66432303408433,1267411452
0,0,90.57366736905482,40.70038186101974,60.715589830565875,1267416718
0,0,90.72322751330458,40.70038186101974,60.76569758881789,1267416738
0,0,90.86955631034964,40.70038186101974,60.8146827778676,1267416766
0,0,91.01275020938482,40.70038186101974,60.86258035725701,1267416789
0,0,91.15290188084435,40.70038186101974,60.909423854527056,1267416844
1,0,91.15290188084435,36.81162751503088,57.926562740696085,1267418836
0,0,91.290100399807,36.81162751503088,57.97014034593557,1267418859
1,0,91.290100399807,33.57159882597673,55.360226041856606,1267424985
0,0,91.42443141882035,33.57159882597673,55.40094163897992,1267425188
0,0,91.55597733084892,33.57159882597673,55.44078409502773,1267434541
0,0,91.68481742299893,33.57159882597673,55.47977928000292,1267434582
0,0,91.81102802162276,33.57159882597673,55.51795205645132,1267434593
0,0,91.93468262936182,33.57159882597673,55.555326328142705,1267434623
1,0,91.93468262936182,30.830589744418685,53.239087928224215,1267434643
1,1,91.93468262936182,36.10047192606944,57.60976852317131,1267434687
0,0,92.05585205464583,36.10047192606944,57.64772070714629,1267434711
1,0,92.05585205464583,33.52079152903442,55.54984271581169,1267436129
0,0,92.17460453412819,33.52079152903442,55.585660946504014,1267436228
0,0,92.29100584850332,33.52079152903442,55.62074763119043,1267436270
0,0,92.40511943211914,33.52079152903442,55.655123256530416,1267436507
1,0,92.40511943211914,31.264140893312202,53.74910858041381,1267436602
1,0,92.40511943211914,29.273514599111678,52.009831885219526,1267436636
0,0,92.51700647676954,29.273514599111678,52.041309935125796,1267441850
0,0,92.62672603002382,29.273514599111678,52.072159708502774,1267441864
0,0,92.73433508842594,29.273514599111678,52.10239833299376,1267441879
0,0,92.83988868587284,29.273514599111678,52.13204232356336,1267441914
0,0,92.94343997746057,29.273514599111678,52.16110760971101,1267441958
0,0,93.04504031906706,29.273514599111678,52.18960956124451,1267442037
0,0,93.14473934292198,29.273514599111678,52.21756301270175,1267442073
0,0,93.24258502939826,29.273514599111678,52.244982286502896,1267442086
0,0,93.33862377524342,29.273514599111678,52.27188121490923,1267442370
0,0,93.43290045845542,29.273514599111678,52.298273160860134,1267443322
0,0,93.52545849999355,29.273514599111678,52.32417103775438,1267443609
0,0,93.61633992250339,29.273514599111678,52.34958732823788,1267443629
0,0,93.7055854062228,29.273514599111678,52.37453410205545,1267445469
0,0,93.79323434222573,29.273514599111678,52.39902303302083,1267445762
0,0,93.87932488315055,29.273514599111678,52.423065415155335,1267608678
0,0,93.96389399155031,29.273514599111678,52.44667217804224,1267609652
0,0,94.04697748599423,29.273514599111678,52.469853901441155,1267611199
0,0,94.12861008504132,29.273514599111678,52.49262082920367,1267611223
1,1,94.12861008504132,33.54737362332029,56.19401793044092,1267654385
0,0,94.20882544919992,33.54737362332029,56.21795679281198,1267654449
0,0,94.28765622097988,33.54737362332029,56.24147252083992,1267654502
0,0,94.36513406313802,33.54737362332029,56.264575084424116,1267654683
0,0,94.44128969521077,33.54737362332029,56.28727414676841,1267654731
0,0,94.51615292842354,33.54737362332029,56.309579076110154,1267654795
0,0,94.58975269905937,33.54737362332029,56.331498956914096,1267655582
0,0,94.6621171003668,33.54737362332029,56.353042600559746,1267656764
0,0,94.73327341307977,33.54737362332029,56.37421855554844,1267656767
0,0,94.80324813462072,33.54737362332029,56.39503511725535,1267657435
