instance class,predicted class,recall(0),recall(1),avg-gmean,timestamp 
1,0,0.0,0.0,0.0,1293840523
1,0,0.0,0.0,0.0,1293853015
1,0,0.0,0.0,0.0,1293857524
1,0,0.0,0.0,0.0,1294097284
1,0,0.0,0.0,0.0,1294112356
0,0,100.0,0.0,0.0,1294112468
0,0,100.0,0.0,0.0,1294112677
1,0,100.0,0.0,0.0,1294112863
1,0,100.0,0.0,0.0,1294188041
0,0,100.0,0.0,0.0,1294188502
1,0,100.0,0.0,0.0,1294188634
1,0,100.0,0.0,0.0,1294192125
1,0,100.0,0.0,0.0,1294200534
0,0,100.0,0.0,0.0,1294201845
0,1,79.59598004161201,0.0,0.0,1294441271
0,1,65.9944449681489,0.0,0.0,1294447449
1,1,65.9944449681489,9.554589338419115,25.110751089673972,1294447588
1,1,65.9944449681489,17.515273098384636,33.99868713043849,1294468840
0,1,56.28004400561871,17.515273098384636,31.396820551570457,1294469171
0,1,48.99510174969702,17.515273098384636,29.294412225355988,1294883067
1,1,48.99510174969702,24.24987596014109,34.469191172475234,1298425344
1,1,48.99510174969702,30.021129863571268,38.35216176836114,1299733974
1,1,48.99510174969702,35.02170492162867,41.4233267143413,1299888878
1,1,48.99510174969702,39.39610374123125,43.93422482920627,1300415911
1,1,48.99510174969702,43.25482833677939,46.035580973049356,1301454910
0,1,43.3297985159188,43.25482833677939,43.29229719792317,1305149375
0,1,38.798242479756276,43.25482833677939,40.965977569571066,1305150062
1,1,38.798242479756276,46.68382473916638,42.558787014112866,1305287658
1,1,38.798242479756276,49.750945096679175,43.93460175599638,1305321817
1,0,38.798242479756276,47.01877373110372,42.71119038753377,1305326948
1,1,38.798242479756276,49.80327116504773,43.95770001884284,1305491483
1,1,38.798242479756276,52.333738373591096,45.060593330433555,1305850908
1,1,38.798242479756276,54.64331010500436,46.04415701639542,1305878739
0,1,35.09122974029148,54.64331010500436,43.78927892378109,1305899488
0,1,32.00262435205348,54.64331010500436,41.81781111731247,1305899582
0,1,29.389716803700605,54.64331010500436,40.0743235651317,1305901812
0,1,27.150571720125367,54.64331010500436,38.51749096230143,1305933768
1,0,27.150571720125367,52.093719022190314,37.608167390608614,1306183860
1,1,27.150571720125367,54.24992453538696,38.37859386310828,1306255516
1,1,27.150571720125367,56.23943146375399,39.07598645531201,1306325472
1,1,27.150571720125367,58.08076228666674,39.710526337782255,1306432428
1,1,27.150571720125367,59.78979343042956,40.29053331322829,1306453931
1,1,27.150571720125367,61.38021148429377,40.8228837063329,1306515126
1,1,27.150571720125367,62.86387817327116,41.31331786420237,1306615929
1,1,27.150571720125367,64.2511246910471,41.76667055228358,1306714126
1,1,27.150571720125367,65.5509908454714,42.187046332674825,1306862100
1,1,27.150571720125367,66.77142072305008,42.57795494379499,1306864123
1,1,27.150571720125367,67.91942382440817,42.942417115646684,1306951215
1,1,27.150571720125367,69.00120857652958,43.283048208650875,1307079037
1,1,27.150571720125367,70.02229359295603,43.602124996417636,1307121943
1,1,27.150571720125367,70.98760089179096,43.90163948250915,1307121996
