instance class,predicted class,recall(0),recall(1),avg-gmean,timestamp,total timeelapsed in nanoseconds,total timeelapsed in seconds 
0,0,100.0,0.0,0.0,1143467626,109182322833,109
0,0,100.0,0.0,0.0,1143489078,109182322833,109
0,0,100.0,0.0,0.0,1143528058,109182322833,109
0,0,100.0,0.0,0.0,1143528343,109182322833,109
0,0,100.0,0.0,0.0,1143528575,109182322833,109
0,0,100.0,0.0,0.0,1143562674,109182322833,109
0,0,100.0,0.0,0.0,1143564801,109182322833,109
0,0,100.0,0.0,0.0,1143564900,109182322833,109
0,0,100.0,0.0,0.0,1143640684,109182322833,109
0,0,100.0,0.0,0.0,1143640801,109182322833,109
0,0,100.0,0.0,0.0,1143643192,109182322833,109
1,0,100.0,0.0,0.0,1143680122,109182322833,109
0,0,100.0,0.0,0.0,1143712857,109182322833,109
0,0,100.0,0.0,0.0,1143725279,109182322833,109
0,0,100.0,0.0,0.0,1143725524,109182322833,109
0,0,100.0,0.0,0.0,1143731311,109182322833,109
0,0,100.0,0.0,0.0,1143731413,109182322833,109
0,0,100.0,0.0,0.0,1143740479,109182322833,109
0,0,100.0,0.0,0.0,1143740526,109182322833,109
0,0,100.0,0.0,0.0,1144108833,109182322833,109
0,0,100.0,0.0,0.0,1144108911,109182322833,109
1,0,100.0,0.0,0.0,1144108994,109182322833,109
0,0,100.0,0.0,0.0,1144109030,109182322833,109
0,0,100.0,0.0,0.0,1144171182,109182322833,109
0,0,100.0,0.0,0.0,1144190049,109182322833,109
1,1,100.0,33.66890003703579,58.0249084764774,1144332585,109182322833,109
0,1,95.33412035633515,33.66890003703579,56.65505245250583,1144332834,109182322833,109
0,1,91.04324342511816,33.66890003703579,55.36538505174347,1144333754,109182322833,109
0,1,87.0840988393266,33.66890003703579,54.14818389047441,1144367076,109182322833,109
1,1,87.0840988393266,50.50249987374376,66.31715231098347,1144367225,109182322833,109
0,1,83.41982662481875,50.50249987374376,64.90693170677255,1144455156,109182322833,109
1,1,83.41982662481875,60.6019796784082,71.10138281280894,1144600689,109182322833,109
0,1,80.01883248737614,60.6019796784082,69.63691305830493,1144632979,109182322833,109
0,1,76.85387993691184,60.6019796784082,68.24585899630507,1144634478,109182322833,109
0,1,73.90136398683896,60.6019796784082,66.92211113329482,1144769764,109182322833,109
1,1,73.90136398683896,67.3343995185684,70.54150528346385,1144839281,109182322833,109
1,1,73.90136398683896,72.1427851472618,73.01678042883097,1144847899,109182322833,109
1,1,73.90136398683896,75.74864944958433,74.81930576051344,1144848722,109182322833,109
0,1,71.14072542775696,75.74864944958433,73.40854086559882,1144848857,109182322833,109
0,1,68.55397492482366,75.74864944958433,72.06157793828874,1144857702,109182322833,109
0,1,66.12530364287952,75.74864944958433,70.77359991827322,1144927106,109182322833,109
0,1,63.84076258478709,75.74864944958433,69.54028721273141,1144936447,109182322833,109
0,1,61.6879969003425,75.74864944958433,68.35775341869486,1144936610,109182322833,109
0,1,59.65602447703668,75.74864944958433,67.22249092131943,1144965095,109182322833,109
1,1,59.65602447703668,78.5528329248765,68.45545795411061,1145050228,109182322833,109
0,1,57.735050435018984,78.5528329248765,67.34427793607534,1145326045,109182322833,109
0,1,55.916310912331355,78.5528329248765,66.27506792808147,1145373393,109182322833,109
1,1,55.916310912331355,80.79583987959744,67.21462120052831,1145458270,109182322833,109
0,1,54.191940883184756,80.79583987959744,66.17010940267822,1145459933,109182322833,109
0,1,52.554861803495655,80.79583987959744,65.16298181613243,1145537185,109182322833,109
0,1,50.99868569854048,80.79583987959744,64.19097790008493,1145570493,109182322833,109
1,1,50.99868569854048,82.63071851499436,64.9157765307538,1145617445,109182322833,109
1,1,50.99868569854048,84.15950097093702,65.5135401162449,1145630366,109182322833,109
1,1,50.99868569854048,85.45282488798193,66.01501161489414,1145751536,109182322833,109
0,1,49.51763295237506,85.45282488798193,65.04937830253776,1145827982,109182322833,109
0,1,48.106461568499235,85.45282488798193,64.11577837313837,1145828038,109182322833,109
1,1,48.106461568499235,86.56114572855165,64.53022881034772,1145828252,109182322833,109
0,1,46.7604060767957,86.56114572855165,63.62102109161535,1145839052,109182322833,109
0,1,45.4751245862116,86.56114572855165,62.74056810653777,1145892760,109182322833,109
0,1,44.24665274361329,86.56114572855165,61.887324680749686,1146031853,109182322833,109
0,1,43.07136357023529,86.56114572855165,61.05986061833558,1146144658,109182322833,109
0,1,41.945932318574215,86.56114572855165,60.25684990229797,1146144819,109182322833,109
0,1,40.867305632521386,86.56114572855165,59.47706111090177,1146229674,109182322833,109
0,1,39.832674408280496,86.56114572855165,58.7193488912566,1146230363,109182322833,109
1,1,39.832674408280496,87.52146416964192,59.04416978843325,1146230528,109182322833,109
0,1,38.83944984811962,87.52146416964192,58.30339199609921,1146270192,109182322833,109
0,1,37.885242277152855,87.52146416964192,57.582739380113175,1146637287,109182322833,109
0,1,36.96784235822309,87.52146416964192,56.88127715148626,1146643622,109182322833,109
1,1,36.96784235822309,88.36153072326339,57.15361001991814,1146647473,109182322833,109
1,1,36.96784235822309,89.10256637319782,57.3927663333759,1146718149,109182322833,109
0,1,36.085204394021055,89.10256637319782,56.70347713860827,1146753563,109182322833,109
0,1,35.23543145079231,89.10256637319782,56.031842460626656,1146837029,109182322833,109
0,1,34.41676207593369,89.10256637319782,55.377087565359005,1147183321,109182322833,109
0,1,33.6275584137384,89.10256637319782,54.73848514097474,1147183523,109182322833,109
0,1,32.86629555054759,89.10256637319782,54.11535161794482,1147763686,109182322833,109
0,1,32.13155194344684,89.10256637319782,53.50704383270323,1147847621,109182322833,109
0,1,31.42200080609366,89.10256637319782,52.912955997596995,1147870301,109182322833,109
1,1,31.42200080609366,89.76107633283505,53.10812191074147,1147870539,109182322833,109
1,1,31.42200080609366,90.35009103737727,53.282085482900385,1147976947,109182322833,109
0,1,30.736402341841572,90.35009103737727,52.69759719139803,1147999444,109182322833,109
0,1,30.07359672849808,90.35009103737727,52.126310076977184,1148000188,109182322833,109
0,1,29.43249777120172,90.35009103737727,51.567711342326206,1148000235,109182322833,109
0,1,28.81208715034259,90.35009103737727,51.02131610425491,1148024015,109182322833,109
0,1,28.21140920044487,90.35009103737727,50.48666546280212,1148083448,109182322833,109
1,1,28.21140920044487,90.88003483838153,50.63451244927976,1148083495,109182322833,109
1,1,28.21140920044487,91.3593464998614,50.7678629488461,1148341044,109182322833,109
0,1,27.62956616369702,91.3593464998614,50.241607346800144,1148447060,109182322833,109
0,1,27.06571386853973,91.3593464998614,49.72631025505538,1148530045,109182322833,109
0,1,26.51905778955555,91.3593464998614,49.221578494049275,1148661504,109182322833,109
0,1,25.988849449977536,91.3593464998614,48.72703871602737,1148661548,109182322833,109
1,1,25.988849449977536,91.79493046817889,48.843061208411754,1148903494,109182322833,109
0,1,25.474383132554877,91.79493046817889,48.357204513625724,1148911753,109182322833,109
0,1,24.97499286837423,91.79493046817889,47.88087022805325,1148918534,109182322833,109
0,1,24.49004967661316,91.79493046817889,47.41373648244728,1148919421,109182322833,109
0,1,24.0189590311638,91.79493046817889,46.95549674088986,1148983121,109182322833,109
0,1,23.561158532665967,91.79493046817889,46.50585887020917,1149433299,109182322833,109
0,1,23.116115766778194,91.79493046817889,46.06454427763047,1149433519,109182322833,109
0,1,22.683326331533156,91.79493046817889,45.63128711082011,1149743197,109182322833,109
0,1,24.118363935014386,91.79493046817889,47.05256146503481,1149778207,109182322833,109
0,1,23.674514163420614,91.79493046817889,46.617597337262154,1149778812,109182322833,109
1,1,23.674514163420614,92.19249041935566,46.71843768999617,1149780956,109182322833,109
0,1,23.24246306710731,92.19249041935566,46.29017772310362,1149894412,109182322833,109
0,1,22.82176732665007,92.19249041935566,45.86933142759932,1149894580,109182322833,109
0,1,22.412005505635673,92.19249041935566,45.45567734460529,1150062833,109182322833,109
0,1,22.012776716389617,92.19249041935566,45.04900339107587,1150491306,109182322833,109
0,1,21.62369938215748,92.19249041935566,44.64910635298965,1150503140,109182322833,109
0,1,21.244410087702466,92.19249041935566,44.25579141169405,1150801950,109182322833,109
0,1,20.874562511037684,92.19249041935566,43.868871700866464,1150836217,109182322833,109
0,1,20.51382642968917,92.19249041935566,43.48816789177769,1150836336,109182322833,109
0,1,20.161886795492993,92.19249041935566,43.11350780474283,1150836383,109182322833,109
0,1,19.818442872474744,92.19249041935566,42.744726044825406,1150839102,109182322833,109
1,1,19.818442872474744,92.55677941955614,42.82909344577258,1150881692,109182322833,109
1,1,19.818442872474744,92.89179004705456,42.90653370256643,1150937333,109182322833,109
1,1,19.818442872474744,93.20090063990179,42.97786319717499,1150940758,109182322833,109
0,1,19.483207432849984,93.20090063990179,42.61282060713239,1150971101,109182322833,109
0,1,19.155906006625028,93.20090063990179,42.25337492308463,1150992212,109182322833,109
1,1,19.155906006625028,93.48698904411037,42.31817546836539,1150992617,109182322833,109
1,1,19.155906006625028,93.75252198722838,42.37823142925378,1150996154,109182322833,109
1,1,19.155906006625028,93.99962596082872,42.43404293210281,1151003102,109182322833,109
0,1,18.836276180675046,93.99962596082872,42.07853271536832,1151006379,109182322833,109
0,1,18.524066943534816,93.99962596082872,41.72835203989758,1151008107,109182322833,109
