instance class,predicted class,recall(0),recall(1),avg-gmean,timestamp,total timeelapsed in nanoseconds,total timeelapsed in seconds 
0,0,100.0,0.0,0.0,1143467626,123383712009,123
0,0,100.0,0.0,0.0,1143489078,123383712009,123
0,0,100.0,0.0,0.0,1143528058,123383712009,123
0,0,100.0,0.0,0.0,1143528343,123383712009,123
0,0,100.0,0.0,0.0,1143528575,123383712009,123
0,0,100.0,0.0,0.0,1143562674,123383712009,123
0,0,100.0,0.0,0.0,1143564801,123383712009,123
0,0,100.0,0.0,0.0,1143564900,123383712009,123
0,0,100.0,0.0,0.0,1143640684,123383712009,123
0,0,100.0,0.0,0.0,1143640801,123383712009,123
0,0,100.0,0.0,0.0,1143643192,123383712009,123
1,0,100.0,0.0,0.0,1143680122,123383712009,123
0,0,100.0,0.0,0.0,1143712857,123383712009,123
0,0,100.0,0.0,0.0,1143725279,123383712009,123
0,0,100.0,0.0,0.0,1143725524,123383712009,123
0,0,100.0,0.0,0.0,1143731311,123383712009,123
0,0,100.0,0.0,0.0,1143731413,123383712009,123
0,0,100.0,0.0,0.0,1143740479,123383712009,123
0,0,100.0,0.0,0.0,1143740526,123383712009,123
0,0,100.0,0.0,0.0,1144108833,123383712009,123
0,0,100.0,0.0,0.0,1144108911,123383712009,123
1,0,100.0,0.0,0.0,1144108994,123383712009,123
0,0,100.0,0.0,0.0,1144109030,123383712009,123
0,0,100.0,0.0,0.0,1144171182,123383712009,123
0,0,100.0,0.0,0.0,1144190049,123383712009,123
1,0,100.0,0.0,0.0,1144332585,123383712009,123
0,0,100.0,0.0,0.0,1144332834,123383712009,123
0,0,100.0,0.0,0.0,1144333754,123383712009,123
0,0,100.0,0.0,0.0,1144367076,123383712009,123
1,0,100.0,0.0,0.0,1144367225,123383712009,123
0,0,100.0,0.0,0.0,1144455156,123383712009,123
1,0,100.0,0.0,0.0,1144600689,123383712009,123
0,0,100.0,0.0,0.0,1144632979,123383712009,123
0,0,100.0,0.0,0.0,1144634478,123383712009,123
0,0,100.0,0.0,0.0,1144769764,123383712009,123
1,0,100.0,0.0,0.0,1144839281,123383712009,123
1,1,100.0,14.720028279984273,38.366689041386245,1144847899,123383712009,123
1,0,100.0,12.814653863174758,35.79756117834671,1144848722,123383712009,123
0,1,96.26442813751903,12.814653863174758,35.12257573013072,1144848857,123383712009,123
0,1,92.76415376721923,12.814653863174758,34.47811655872799,1144857702,123383712009,123
0,0,93.02049910628074,12.814653863174758,34.52572226944346,1144927106,123383712009,123
0,0,93.26163155450068,12.814653863174758,34.57044296918775,1144936447,123383712009,123
0,0,93.48885516166467,12.814653863174758,34.61253124175133,1144936610,123383712009,123
0,0,93.70332908561168,12.814653863174758,34.65221101256411,1144965095,123383712009,123
1,0,93.70332908561168,11.332895536767333,32.58726806552782,1145050228,123383712009,123
0,1,90.68600326810954,11.332895536767333,32.05830628221688,1145326045,123383712009,123
0,1,87.82925997169684,11.332895536767333,31.549323738090187,1145373393,123383712009,123
1,0,87.82925997169684,10.147668442808657,29.854014969012553,1145458270,123383712009,123
0,0,88.20458622256922,10.147668442808657,29.9177354778359,1145459933,123383712009,123
0,0,88.56091273194694,10.147668442808657,29.97810500008814,1145537185,123383712009,123
0,0,88.89962990592791,10.147668442808657,30.035378622114177,1145570493,123383712009,123
1,0,88.89962990592791,9.17810039567394,28.564483688925026,1145617445,123383712009,123
1,0,88.89962990592791,8.370276601932126,27.278462055658743,1145630366,123383712009,123
1,0,88.89962990592791,7.686871432581175,26.14115577955413,1145751536,123383712009,123
0,1,86.31789590235864,7.686871432581175,25.758776526309557,1145827982,123383712009,123
0,0,86.70781344531494,7.686871432581175,25.816890094555724,1145828038,123383712009,123
1,0,86.70781344531494,7.101223721468429,24.813939261522535,1145828252,123383712009,123
0,0,87.07973896478399,7.101223721468429,24.867100916592644,1145839052,123383712009,123
0,0,87.43487215876875,7.101223721468429,24.917756485233742,1145892760,123383712009,123
0,0,87.77430840863184,7.101223721468429,24.966077004745102,1146031853,123383712009,123
0,1,85.4428282180021,7.101223721468429,24.63226823845154,1146144658,123383712009,123
0,0,85.82319918147401,7.101223721468429,24.687035826113128,1146144819,123383712009,123
0,1,86.18775123313853,7.101223721468429,24.739411948483806,1146229674,123383712009,123
0,1,84.0057493322853,7.101223721468429,24.424242463138032,1146230363,123383712009,123
1,0,84.0057493322853,6.593781944342977,23.535411472252296,1146230528,123383712009,123
0,1,81.9110726712023,6.593781944342977,23.24013235808134,1146270192,123383712009,123
0,1,79.89868150720505,6.593781944342977,22.95287527738124,1146637287,123383712009,123
0,1,77.96391642371742,6.593781944342977,22.67326761684281,1146643622,123383712009,123
1,1,77.96391642371742,12.881974786481939,31.69115342845244,1146647473,123383712009,123
1,0,77.96391642371742,12.06176361168249,30.66565391678204,1146718149,123383712009,123
0,1,76.1024631150111,12.06176361168249,30.29735830662551,1146753563,123383712009,123
0,1,74.31032101261206,12.06176361168249,29.938495719764695,1146837029,123383712009,123
0,1,72.58377527316519,12.06176361168249,29.588652206351057,1147183321,123383712009,123
0,1,70.9193717149467,12.06176361168249,29.247439154817105,1147183523,123383712009,123
0,1,69.31389434715314,12.06176361168249,28.91449132563975,1147763686,123383712009,123
0,1,67.76434518434888,12.06176361168249,28.58946506869394,1147847621,123383712009,123
0,1,66.26792607947107,12.06176361168249,28.27203670426008,1147870301,123383712009,123
1,1,66.26792607947107,17.37569407254038,33.93304009926917,1147870539,123383712009,123
1,1,66.26792607947107,22.128823671497926,38.29401064511883,1147976947,123383712009,123
0,1,64.82202234375333,22.128823671497926,37.87393698144961,1147999444,123383712009,123
0,1,63.42418795182032,22.128823671497926,37.46335104730722,1148000188,123383712009,123
0,1,62.07213215582203,22.128823671497926,37.06188429357177,1148000235,123383712009,123
0,1,60.76370735449499,22.128823671497926,36.66918823309457,1148024015,123383712009,123
0,1,59.49689808200363,22.128823671497926,36.284933052959346,1148083448,123383712009,123
1,1,59.49689808200363,26.40527304858951,39.63624401225989,1148083495,123383712009,123
1,1,59.49689808200363,30.273139890854694,42.44005088013468,1148341044,123383712009,123
0,1,58.269810997797855,30.273139890854694,42.00012071113603,1148447060,123383712009,123
0,1,57.08066577290252,30.273139890854694,41.5693514503919,1148530045,123383712009,123
0,1,55.92778678035943,30.273139890854694,41.1474144143677,1148661504,123383712009,123
0,1,54.80959550824092,30.273139890854694,40.733997498184955,1148661548,123383712009,123
1,1,54.80959550824092,33.78814051252917,43.03387403508231,1148903494,123383712009,123
0,1,53.72460362297781,33.78814051252917,42.605803081189634,1148911753,123383712009,123
0,1,52.67140661888655,33.78814051252917,42.186121981422964,1148918534,123383712009,123
0,1,51.648677996903544,33.78814051252917,41.774547148302524,1148919421,123383712009,123
0,1,50.65516392178092,33.78814051252917,41.37080850399629,1148983121,123383712009,123
0,1,49.689678312484006,33.78814051252917,40.974648660416634,1149433299,123383712009,123
0,1,48.75109832535807,33.78814051252917,40.58582215943548,1149433519,123383712009,123
